date,type,metadata,title,scriptures
8/14/2015 9:30,Music,,Music,
8/14/2015 9:30,Song,#5,Song Number 5 and Prayer,
8/14/2015 9:40,Talk,,Chairman's Address: Imitate Jesus—Why and How? (Luke 6:40),(Luke 6:40)
8/14/2015 10:20,SymposiumTalk,Symposium: Lessons From Jesus' Word Pictures,Observe the Birds and the Lilies (Matthew 6:25-30),(Matthew 6:25-30)
8/14/2015 10:37,SymposiumTalk,Symposium: Lessons From Jesus' Word Pictures,"""Have Salt in Yourselves"" (Mark 9:50)",(Mark 9:50)
8/14/2015 10:53,SymposiumTalk,Symposium: Lessons From Jesus' Word Pictures,Build Your House on the Rock (Luke 6:47-49),(Luke 6:47-49)
8/14/2015 11:10,Song,#120,Song Number 120 and Announcements,
8/14/2015 11:20,Talk,,"Follow Jesus' Pattern—Keep On Asking, Seeking, and Knocking! (Luke 11:9-13; 22:41-44)",(Luke 11:9-13)(Luke 22:41-44)
8/14/2015 11:45,Talk,,"Keynote Address: ""Concealed in Him Are All the Treasures of Wisdom"" (Colossians 2:2-4; Matthew 5:17-20, 43-48)","(Colossians 2:2-4)(Matthew 5:17-20,43-48)"
8/14/2015 12:15,Song,#69,Song Number 69 and Intermission,
8/14/2015 13:25,Talk,,Special Musical Video Presentation,
8/14/2015 13:35,Song,#56,Song Number 56,
8/14/2015 13:40,Talk,,"Sing Praises in Imitation of Jesus (Exodus 15:1, 2, 21; Matthew 26:30; 2 Corinthians 8:12; Colossians 3:16)","(Exodus 15:1,2,21)(Matthew 26:30)(2 Corinthians 8:12)(Colossians 3:16)"
8/14/2015 14:05,SymposiumTalk,Symposium: Imitate Jehovah by Imitating Jesus (John 14:9),"""Take These Things Away From Here!"" (John 2:13-17)",(John 14:9)(John 2:13-17)
8/14/2015 14:15,SymposiumTalk,Symposium: Imitate Jehovah by Imitating Jesus (John 14:9),"He ""Started to Wash the Feet of the Disciples"" (John 13:3-5)",(John 14:9)(John 13:3-5)
8/14/2015 14:25,SymposiumTalk,Symposium: Imitate Jehovah by Imitating Jesus (John 14:9),"""Go Away, Satan!"" (Matthew 4:8-11)",(John 14:9)(Matthew 4:8-11)
8/14/2015 14:35,SymposiumTalk,Symposium: Imitate Jehovah by Imitating Jesus (John 14:9),"""It Has Been Accomplished!"" (John 19:30; Isaiah 55:10, 11)","(John 14:9)(John 19:30)(Isaiah 55:10,11)"
8/14/2015 14:45,SymposiumTalk,Symposium: Imitate Jehovah by Imitating Jesus (John 14:9),"""Happy Are the Peacemakers"" (Matthew 5:9; Luke 24:34)",(John 14:9)(Matthew 5:9)(Luke 24:34)
8/14/2015 14:55,SymposiumTalk,Symposium: Imitate Jehovah by Imitating Jesus (John 14:9),"Pay Back ""God's Things to God"" (Matthew 22:15-22)",(John 14:9)(Matthew 22:15-22)
8/14/2015 15:10,Song,#80,Song Number 80 and Announcements,
8/14/2015 15:20,Talk,,"Drama: 'For a Certainty God Made Him Lord and Christ'—Part I (Mark 5:22-43; Luke 2:7-14, 42-47; 4:1-30; 8:40-56)","(Mark 5:22-43)(Luke 2:7-14,42-47)(Luke 4:1-30)(Luke 8:40-56)"
8/14/2015 15:55,Talk,,"""He Was Favorably Heard for His Godly Fear"" (Hebrews 5:7; Matthew 10:27-31; 1 Peter 3:14)",(Hebrews 5:7)(Matthew 10:27-31)(1 Peter 3:14)
8/14/2015 16:15,Talk,,"Jesus ""Came to Seek and to Save What Was Lost"" (Luke 15:4-10; 19:10)",(Luke 15:4-10)(Luke 19:10)
